2016-08-09 15:15:35,586 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BankAccountProject:BankAccountProject:0.0.1-SNAPSHOT @ D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\pom.xml.
2016-08-09 15:15:42,247 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:42,249 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:15:42,252 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:42,254 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:15:42,304 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BankAccountProject/src
2016-08-09 15:15:42,306 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /BankAccountProject/src/test/java because it overlaps with /BankAccountProject/src
2016-08-09 15:15:43,398 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:43,425 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:15:43,427 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:43,428 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:15:43,490 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-08-09 15:15:45,069 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BankAccountProject:BankAccountProject:0.0.1-SNAPSHOT @ D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\pom.xml.
2016-08-09 15:15:48,399 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:48,400 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:15:48,403 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:48,404 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:15:48,405 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of BankAccountProject
2016-08-09 15:15:48,406 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for BankAccountProject
2016-08-09 15:15:48,752 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:48,789 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BankAccountProject/src
2016-08-09 15:15:48,790 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /BankAccountProject/src/test/java because it overlaps with /BankAccountProject/src
2016-08-09 15:15:49,059 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for BankAccountProject
2016-08-09 15:15:49,369 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2016-08-09 15:15:49,877 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:49,879 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:15:49,880 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:49,881 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:15:49,882 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of BankAccountProject
2016-08-09 15:15:49,882 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for BankAccountProject
2016-08-09 15:15:49,888 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:15:53,637 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BankAccountProject:BankAccountProject:0.0.1-SNAPSHOT @ D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\pom.xml.
